fact_date,cartera_key,cartera_name,assignees,assign,status,estimated_mrc_value,estimated_otc_value,estimated_trx_value,country,type,opportunity_type,vertical,priority,space_id,space_name,cliente,cartera_closing_date,cartera_closing_estimated_date,cartera_created_date,cartera_due_date,cartera_start_date
5/31/2025,868dkuu60,BANCO MERCANTIL SMART WI FI ,"[""Luis Nemtala""]",Luis Nemtala,Discovery,,,,,,,Hardware & S. Administradas,Normal,90113131698,Negocios,,,,4/21/2025,5/10/2025,4/21/2025
5/31/2025,868cuueu1,TADA (2DO BOT),"[""Laura Saucedo""]",Laura Saucedo,Propuesta,5328,28400,3000,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,TADA,,6/4/2025,2/27/2025,,
5/31/2025,868cuudhg,TIGO (CALL CENTER POC JERONIMO),"[""Laura Saucedo""]",Laura Saucedo,Negociacion,8000,5000,5000,Bolivia,Directa,New Sell,Digitalización & IA,High,90113131698,Negocios,TIGO BO,,5/5/2025,2/27/2025,4/25/2025,
5/31/2025,868cuu98a,INDUSTRIAS LURI,"[""Laura Saucedo""]",Laura Saucedo,Propuesta,15480,16416,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,INDUSTRIAS LURI,,5/22/2025,2/27/2025,2/26/2025,
5/31/2025,868cuturr,EMBOL CLASIFICADOR DE CANALES,"[""Laura Saucedo""]",Laura Saucedo,Sin Respuesta,877000,0,0,Bolivia,,New Sell,Software & Dev,,90113131698,Negocios,EMBOL,,,2/27/2025,,
5/31/2025,868cutu1v,AIDISA AUTOREPUESTOS POC,"[""Laura Saucedo""]",Laura Saucedo,Negociacion,6200,6500,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,AIDISA,,5/28/2025,2/27/2025,2/26/2025,
5/31/2025,868cutt8r,EMBOL OTP,"[""Laura Saucedo""]",Laura Saucedo,Cerrado,1800,,51076,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,EMBOL,3/24/2025,,2/27/2025,,
5/31/2025,868cuqnj3,TIGO BUSINESS EVENTO,"[""Laura Saucedo""]",Laura Saucedo,Perdido,,21802,,Bolivia,Indirecta,New Sell,Hardware & S. Administradas,Normal,90113131698,Negocios,TIGO BO,,4/30/2025,2/27/2025,2/24/2025,
5/31/2025,868crxxtq,LA SUPREMA MOLINO ANDINO,"[""Yerko Vargas"", ""Luis Nemtala""]",Luis Nemtala,Discovery,,,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,TIGO BO,,,2/24/2025,2/24/2025,
5/31/2025,868crxu34,SIN FRONTERAS TOTTO,"[""Yerko Vargas"", ""Luis Nemtala""]",Luis Nemtala,Discovery,,,,Bolivia,Directa,New Sell,Digitalización & IA,,90113131698,Negocios,TOTTO,,,2/24/2025,2/24/2025,
