"fact_date","cartera_key","cartera_name","assignees","assign","status","estimated_mrc_value","estimated_otc_value","estimated_trx_value","country","type","opportunity_type","vertical","priority","space_id","space_name","cliente","cartera_closing_date","cartera_closing_estimated_date","cartera_created_date","cartera_due_date","cartera_start_date","state_update_date"
2025-06-01,"868df9rkn",UNIFRANZ - Smart Wifi SCZ,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Negociacion,2604.0,13522.0,,Bolivia,Indirecta,New Sell,Hardware & S. Administradas,,90113131698,Negocios,UNIFRANZ,,2025-07-31,2025-04-10,,,2025-06-07
2025-06-01,"868egccfj",SMART WIFI BANCO INDUSTRIAL,"[""Franz Claure"", ""Luis Nemtala""]",Luis Nemtala,Negociacion,,,,El Salvador,Indirecta,New Sell,Hardware & S. Administradas,High,90113131698,Negocios,,,,2025-06-24,,,2025-06-25
2025-06-01,"868cutu1v",AIDISA AUTOREPUESTOS POC,"[""Laura Saucedo""]",Laura Saucedo,Negociacion,6200.0,6500.0,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,AIDISA,,2025-05-28,2025-02-27,2025-02-26,,2025-02-28
2025-06-01,"868egcbap",SMART WIFI GRUPO CALLEJA,"[""Franz Claure"", ""Luis Nemtala""]",Luis Nemtala,Negociacion,1588.04,62164.0,,El Salvador,Indirecta,New Sell,Hardware & S. Administradas,High,90113131698,Negocios,,,,2025-06-24,,,2025-06-25
2025-06-01,"868egcb63",SMART WIFI ABANK,"[""Franz Claure"", ""Luis Nemtala""]",Luis Nemtala,Negociacion,652.43,,,El Salvador,Indirecta,New Sell,Hardware & S. Administradas,High,90113131698,Negocios,,,,2025-06-24,,,2025-06-25
2025-06-01,"868c04ttd",ONBOARDING | BANCO BISA,"[""Yerko Vargas"", ""Luis Nemtala""]",Luis Nemtala,Negociacion,29811.0,66147.5,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,,,2025-07-31,2025-01-15,2025-07-07,,2025-04-02
2025-06-01,"868cczazn",BANCOSOL | WIFI,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Negociacion,4833.0,5800.0,,Bolivia,Indirecta,New Sell,Hardware & S. Administradas,Normal,90113131698,Negocios,,,2025-08-31,2025-02-04,2025-06-30,,2025-06-07
2025-06-01,"868ckfxde",CÁMARAS | MULTICINE,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Negociacion,4558.0,353516.0,,Bolivia,Directa,New Sell,Hardware & S. Administradas,Urgent,90113131698,Negocios,,,2025-07-31,2025-02-13,,2025-07-01,2025-04-02
2025-06-01,"868cuqnj3",TIGO BUSINESS EVENTO,"[""Laura Saucedo""]",Laura Saucedo,Perdido,,21802.0,,Bolivia,Indirecta,New Sell,Hardware & S. Administradas,Normal,90113131698,Negocios,TIGO BO,,2025-04-30,2025-02-27,2025-02-24,,2025-04-02
2025-06-01,"868cuug5v",AXS EQUIPAMIENTO,"[""Laura Saucedo""]",Laura Saucedo,Perdido,,50000.0,,Bolivia,,New Sell,Hardware & S. Administradas,Normal,90113131698,Negocios,AXS,,2025-04-14,2025-02-27,,,2025-04-22
2025-06-01,"868bt5jey",VENADO,"[""Laura Saucedo""]",Laura Saucedo,Perdido,,,,Bolivia,Directa,New Sell,Digitalización & IA,,90113131698,Negocios,VENADO,,,2025-01-07,,,2025-02-28
2025-06-01,"868bt3p5k",E Solutions TIGO,"[""Laura Saucedo""]",Laura Saucedo,Perdido,13500.0,25000.0,,Bolivia,Directa,New Sell,Digitalización & IA,High,90113131698,Negocios,TIGO BO,,,2025-01-07,2025-03-31,2025-01-09,2025-02-28
2025-06-01,"868bt5mah",MADEPA,"[""Laura Saucedo""]",Laura Saucedo,Perdido,5000.0,10000.0,,Bolivia,Directa,New Sell,Digitalización & IA,High,90113131698,Negocios,,,,2025-01-07,,2025-04-01,2025-06-26
2025-06-01,"868det183",AXS FEXCO,"[""Laura Saucedo""]",Laura Saucedo,Perdido,,38700.0,,,,New Sell,Hardware & S. Administradas,,90113131698,Negocios,AXS,,,2025-04-09,,,2025-04-24
2025-06-01,"868e8jzjn",BCP | SMART WIFI,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Propuesta,2500.0,,,Bolivia,,New Sell,Hardware & S. Administradas,,90113131698,Negocios,,,2025-07-31,2025-06-06,,,2025-06-26
2025-06-01,"868e8jzmk",BCP | CELFI,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Propuesta,,100000.0,,Bolivia,,New Sell,Hardware & S. Administradas,,90113131698,Negocios,,,2025-07-31,2025-06-06,,,2025-06-26
2025-06-01,"868e8jzpb",IDEPRO | OMNICHANNEL,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Propuesta,8000.0,15000.0,3000.0,Bolivia,,New Sell,Digitalización & IA,,90113131698,Negocios,,,2025-07-31,2025-06-06,,,2025-06-26
2025-06-01,"868ce9hck",AEROMAN,"[""Luis Nemtala""]",Luis Nemtala,Propuesta,70200.23,824770.0,,El Salvador,Indirecta,New Sell,Hardware & S. Administradas,Normal,90113131698,Negocios,TIGO ESV,,,2025-02-06,2025-02-13,,2025-02-28
2025-06-01,"868e5u8h0",BAGO,"[""Laura Saucedo""]",Laura Saucedo,Propuesta,17000.0,28000.0,5000.0,Bolivia,Directa,New Sell,Digitalización & IA,High,90113131698,Negocios,BAGO,,,2025-05-30,,,2025-05-31
2025-06-01,"868e5u6ac",FAIR PLAY BOT,"[""Laura Saucedo""]",Laura Saucedo,Propuesta,18000.0,25000.0,5000.0,Bolivia,Directa,New Sell,Digitalización & IA,High,90113131698,Negocios,FAIR PLAY,,,2025-05-30,,,2025-05-31
2025-06-01,"868dkv507",BANCO ECOFUTURO CAMPAÑAS,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Propuesta,25609.0,75075.0,,Bolivia,,New Sell,Digitalización & IA,,90113131698,Negocios,BANCO ECOFUTURO,,2025-07-31,2025-04-21,,,2025-06-07
2025-06-01,"868e5u68d",NATURA,"[""Laura Saucedo""]",Laura Saucedo,Propuesta,13000.0,20000.0,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,,,,2025-05-30,,,2025-06-28
2025-06-01,"868dyh6wp",BANCO AZUL | SMART WIFI,"[""Franz Claure"", ""Luis Nemtala""]",Luis Nemtala,Propuesta,1155.0,17844.0,,El Salvador,Indirecta,New Sell,Hardware & S. Administradas,,90113131698,Negocios,BANCO AZUL,,,2025-05-14,2025-06-30,,2025-05-15
2025-06-01,"868egcbq1",SMART WIGO GOBIERNO ESV,"[""Franz Claure"", ""Luis Nemtala""]",Luis Nemtala,Propuesta,2055.49,,,El Salvador,Indirecta,New Sell,Hardware & S. Administradas,High,90113131698,Negocios,,,,2025-06-24,,,2025-06-25
2025-06-01,"868cuueu1",TADA (2DO BOT),"[""Laura Saucedo""]",Laura Saucedo,Propuesta,5328.0,28400.0,3000.0,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,TADA,,2025-06-04,2025-02-27,,,2025-02-28
2025-06-01,"868cuugtx",NACIONAL SEGUROS,"[""Laura Saucedo""]",Laura Saucedo,Propuesta,5382.0,9286.0,,Bolivia,Directa,New Sell,Hardware & S. Administradas,Normal,90113131698,Negocios,NACIONAL SEGUROS,,2025-05-12,2025-02-27,2025-04-28,,2025-04-02
2025-06-01,"868egcqp9",SMART WIFI BANCO AGRICOLA,"[""Franz Claure"", ""Luis Nemtala""]",Luis Nemtala,Propuesta,619.94,350.0,,El Salvador,Indirecta,New Sell,Hardware & S. Administradas,,90113131698,Negocios,,,,2025-06-24,,,2025-06-25
2025-06-01,"868cv791d",MIXO (CAMBIO  BOT),"[""Laura Saucedo""]",Laura Saucedo,Propuesta,7000.0,17000.0,,Bolivia,Directa,Upsell,Digitalización & IA,Normal,90113131698,Negocios,,,,2025-02-28,2025-02-11,,2025-06-28
2025-06-01,"868det13a",TIGO LICITACIÓN B2B,"[""Laura Saucedo""]",Laura Saucedo,Propuesta,8000.0,10000.0,5000.0,Bolivia,Directa,New Sell,Digitalización & IA,High,90113131698,Negocios,TIGO BO,,2025-05-29,2025-04-09,2025-05-30,2025-05-12,2025-04-10
2025-06-01,"868daa7wf",TERBOL CUPONES,"[""Laura Saucedo""]",Laura Saucedo,Propuesta,1800.0,2500.0,3000.0,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,TERBOL,,2025-05-09,2025-03-31,,,2025-04-02
2025-06-01,"868cuu98a",INDUSTRIAS LURI,"[""Laura Saucedo""]",Laura Saucedo,Propuesta,15480.0,16416.0,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,INDUSTRIAS LURI,,2025-05-22,2025-02-27,2025-02-26,,2025-02-28
2025-06-01,"868egcqte",SMART WIFI LOS SENDEROS,"[""Franz Claure"", ""Luis Nemtala""]",Luis Nemtala,Propuesta,119.0,714.11,,El Salvador,Indirecta,New Sell,Hardware & S. Administradas,,90113131698,Negocios,,,,2025-06-24,,,2025-06-25
2025-06-01,"868e5u9g6",FAIR PLAY ENVIOS KOKO BOLSA,"[""Laura Saucedo""]",Laura Saucedo,Propuesta,38261.0,0.0,,Bolivia,Directa,New Sell,Digitalización & IA,High,90113131698,Negocios,FAIR PLAY,,,2025-05-30,,,2025-05-31
2025-06-01,"868cuturr",EMBOL CLASIFICADOR DE CANALES,"[""Laura Saucedo""]",Laura Saucedo,Sin Respuesta,877000.0,0.0,0.0,Bolivia,,New Sell,Software & Dev,,90113131698,Negocios,EMBOL,,,2025-02-27,,,2025-04-25
2025-06-01,"868ckg3ww",LABORATORIOS COFAR S.A.,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Sin Respuesta,5000.0,,,Bolivia,Directa,New Sell,Digitalización & IA,,90113131698,Negocios,,,,2025-02-13,,,2025-05-27
